2024-05-23 21:18:25:,67556.6868
2024-05-23 21:30:45:,67480.2173
2024-05-23 21:42:45:,67605.4945
2024-05-23 21:54:48:,68041.0482
2024-05-23 22:16:13:,67763.5536
2024-05-23 22:30:16:,67648.9794
2024-05-23 22:42:30:,67663.6876
2024-05-23 22:54:52:,67686.9827
2024-05-23 23:17:35:,67602.6836
2024-05-23 23:29:41:,67692.2384
2024-05-23 23:41:47:,67777.4733
2024-05-23 23:53:44:,67921.3493
2024-05-24 01:06:10:,67698.8469
2024-05-24 02:04:24:,67764.2902
2024-05-24 02:33:58:,67668.5922
2024-05-24 02:46:21:,67730.1762
2024-05-24 02:58:15:,67952.4928
2024-05-24 03:22:14:,67877.4243
2024-05-24 03:34:43:,67885.7558
2024-05-24 03:47:11:,67980.5581
2024-05-24 03:59:07:,67880.696
2024-05-24 04:25:17:,67776.2419
2024-05-24 04:40:33:,67664.2172
2024-05-24 04:52:40:,67709.6579
2024-05-24 05:13:08:,67614.8799
2024-05-24 05:29:15:,67381.0132
2024-05-24 05:41:40:,67152.3039
2024-05-24 05:53:41:,67263.7704
2024-05-24 06:20:48:,67565.7063
2024-05-24 06:37:00:,67255.8095
